서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,서울시 의심환자 전체,서울시 의심환자 검사중,서울시 의심환자 검사결과(음성),전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망,전국 의심환자 전체,전국 의심환자 검사중,전국 의심환자 검사결과(음성),자가격리자 해외입국자 감시중,자가격리자 해외입국자 감시해제,자가격리자 접촉자 감시중,자가격리자 접촉자 감시해제,확인중 확진자,서울시 당일사망자,전국 당일 사망자
2021.05.01.00,38032,195,2674,34908,431,450,,,,2021.05.01.00,122634,627,8466,112337,1831,,,,,,,,0,,
2021.04.30.00,37837,227,2912,34477,148,448,,,,2021.04.30.00,122007,661,8757,111422,1828,,,,,,,,0,,
2021.04.29.00,37610,227,2834,34329,117,447,,,,2021.04.29.00,121351,680,8739,110787,1825,,,,,,,,0,,
2021.04.28.00,37385,259,2728,34212,145,445,,,,2021.04.28.00,120673,775,8604,110248,1821,,,,,,,,0,,
2021.04.27.00,37126,116,2614,34067,261,445,,,,2021.04.27.00,119898,512,8383,109695,1820,,,,,,,,0,,
2021.04.26.00,37010,154,2759,33806,34,445,,,,2021.04.26.00,119387,500,8720,108850,1817,,,,,,,,0,,
2021.04.25.00,36856,175,2640,33772,272,444,,,,2021.04.25.00,118887,644,8599,108475,1813,,,,,,,,0,,
2021.04.24.00,36681,253,2737,33500,271,444,,,,2021.04.24.00,118243,785,8650,107781,1812,,,,,,,,0,,
2021.04.23.00,36428,204,2755,33229,167,444,,,,2021.04.23.00,117458,797,8576,107071,1811,,,,,,,,0,,
2021.04.22.00,36224,230,2719,33062,171,443,,,,2021.04.22.00,116661,735,8394,106459,1808,,,,,,,,0,,
2021.04.21.00,35994,218,2660,32891,248,443,,,,2021.04.21.00,115926,731,8243,105877,1806,,,,,,,,0,,
2021.04.20.00,35776,148,2690,32643,180,443,,,,2021.04.20.00,115195,549,8166,105227,1802,,,,,,,,0,,
2021.04.19.00,35628,137,2722,32463,86,443,,,,2021.04.19.00,114646,532,8371,104474,1801,,,,,,,,0,,
2021.04.18.00,35492,205,2672,32377,77,443,,,,2021.04.18.00,114115,672,8312,104006,1797,,,,,,,,0,,
2021.04.17.00,35287,217,2544,32300,147,443,,,,2021.04.17.00,113444,658,8056,103594,1794,,,,,,,,0,,
2021.04.16.00,35070,216,2475,32153,228,442,,,,2021.04.16.00,112789,673,7937,103062,1790,,,,,,,,0,,
2021.04.15.00,34855,217,2490,31925,192,440,,,,2021.04.15.00,112117,698,7816,102513,1788,,,,,,,,0,,
2021.04.14.00,34638,247,2467,31733,249,438,,,,2021.04.14.00,111419,731,7654,101983,1782,,,,,,,,0,,
2021.04.13.00,34391,158,2470,31484,179,437,,,,2021.04.13.00,110688,542,7581,101332,1775,,,,,,,,0,,
2021.04.12.00,34233,162,2493,31305,49,435,,,,2021.04.12.00,110146,587,7572,100804,1770,,,,,,,,0,,
2021.04.11.00,34071,214,2381,31256,473,434,,,,2021.04.11.00,109559,614,7682,100109,1768,,,,,,,,0,,
2021.04.10.00,33857,201,2640,30783,132,434,,,,2021.04.10.00,108945,677,7879,99301,1765,,,,,,,,0,,
2021.04.09.00,33656,215,2571,30651,110,434,,,,2021.04.09.00,108269,671,7719,98786,1764,,,,,,,,0,,
2021.04.08.00,33441,244,2469,30541,111,431,,,,2021.04.08.00,107598,700,7480,98360,1758,,,,,,,,0,,
2021.04.07.00,33197,198,2336,30430,127,431,,,,2021.04.07.00,106898,668,7214,97928,1756,,,,,,,,0,,
2021.04.06.00,32999,147,2267,30303,131,429,,,,2021.04.06.00,106230,478,7115,97363,1752,,,,,,,,0,,
2021.04.05.00,32852,152,2251,30172,71,429,,,,2021.04.05.00,105752,473,7104,96900,1748,,,,,,,,0,,
2021.04.04.00,32700,149,2170,30101,125,429,,,,2021.04.04.00,105279,543,6946,96589,1744,,,,,,,,0,,
2021.04.03.00,32551,155,2148,29976,78,427,,,,2021.04.03.00,104736,543,6800,96196,1740,,,,,,,,0,,
2021.04.02.00,32397,167,2073,29898,116,426,,,,2021.04.02.00,104194,558,6596,95861,1737,,,,,,,,0,,
2021.04.01.00,32233,199,2026,29782,88,425,,,,2021.04.01.00,103639,551,6465,95439,1735,,,,,,,,0,,
2021.03.31.00,32034,158,1916,29694,136,424,,,,2021.03.31.00,103088,506,6327,95030,1731,,,,,,,,0,,
2021.03.30.00,31876,145,1894,29558,119,424,,,,2021.03.30.00,102582,447,6290,94563,1729,,,,,,,,0,,
2021.03.29.00,31731,107,1869,29439,53,423,,,,2021.03.29.00,102141,384,6291,94124,1726,,,,,,,,0,,
2021.03.28.00,31624,138,1815,29386,68,423,,,,2021.03.28.00,101757,482,6180,93855,1722,,,,,,,,0,,
2021.03.27.00,31486,127,1746,29318,115,422,,,,2021.03.27.00,101275,505,6079,93475,1721,,,,,,,,0,,
2021.03.26.00,31359,122,1736,29203,277,420,,,,2021.03.26.00,100770,494,6424,92630,1716,,,,,,,,0,,
2021.03.25.00,31237,127,1893,28926,191,418,,,,2021.03.25.00,100276,430,6499,92068,1709,,,,,,,,0,,
2021.03.24.00,31110,137,1958,28735,127,417,,,,2021.03.24.00,99846,428,6579,91560,1707,,,,,,,,0,,
2021.03.23.00,30976,97,1953,28608,142,415,,,,2021.03.23.00,99421,346,6638,91079,1704,,,,,,,,0,,
2021.03.22.00,30879,109,1998,28466,80,415,,,,2021.03.22.00,99075,415,6767,90611,1697,,,,,,,,0,,
2021.03.21.00,30775,125,1975,28386,68,414,,,,2021.03.21.00,98665,456,6641,90328,1696,,,,,,,,0,,
2021.03.20.00,30650,120,1919,28318,132,413,,,,2021.03.20.00,98209,452,6567,89949,1693,,,,,,,,0,,
2021.03.19.00,30530,146,1931,28186,78,413,,,,2021.03.19.00,97757,463,6544,89523,1690,,,,,,,,0,,
2021.03.18.00,30384,124,1864,28108,121,412,,,,2021.03.18.00,97294,445,6428,89178,1688,,,,,,,,0,,
2021.03.17.00,30260,120,1861,27987,253,412,,,,2021.03.17.00,96849,469,6349,88814,1686,,,,,,,,0,,
2021.03.16.00,30140,79,1997,27734,208,409,,,,2021.03.16.00,96380,363,6447,88255,1678,,,,,,,,0,,
2021.03.15.00,30061,112,2128,27526,78,407,,,,2021.03.15.00,96017,382,6588,87754,1675,,,,,,,,0,,
2021.03.14.00,29949,112,2097,27448,251,404,,,,2021.03.14.00,95635,459,6558,87408,1669,,,,,,,,0,,
2021.03.13.00,29837,140,2237,27197,480,403,,,,2021.03.13.00,95176,490,6884,86625,1667,,,,,,,,0,,
2021.03.12.00,29697,140,2580,26717,504,400,,,,2021.03.12.00,94686,488,7281,85743,1662,,,,,,,,0,,
2021.03.11.00,29557,138,2945,26213,93,399,,,,2021.03.11.00,94198,465,7871,84675,1652,,,,,,,,0,,
2021.03.10.00,29419,138,2901,26120,151,398,,,,2021.03.10.00,93733,470,7773,84312,1648,,,,,,,,0,,
2021.03.09.00,29281,102,2916,25969,174,396,,,,2021.03.09.00,93263,446,7718,83900,1645,,,,,,,,0,,
2021.03.08.00,29179,100,2988,25795,87,396,,,,2021.03.08.00,92817,346,7701,83474,1642,,,,,,,,0,,
2021.03.07.00,29079,132,2977,25708,80,394,,,,2021.03.07.00,92471,416,7617,83220,1634,,,,,,,,0,,
2021.03.06.00,28947,128,2926,25628,82,393,,,,2021.03.06.00,92055,418,7510,82913,1632,,,,,,,,0,,
2021.03.05.00,28820,129,2883,25546,127,391,,,,2021.03.05.00,91638,398,7451,82560,1627,,,,,,,,0,,
2021.03.04.00,28691,118,2884,25419,168,388,,,,2021.03.04.00,91240,424,7459,82162,1619,,,,,,,,0,,
2021.03.03.00,28573,119,2937,25251,99,385,,,,2021.03.03.00,90816,444,7504,81700,1612,,,,,,,,0,,
2021.03.02.00,28454,122,2921,25152,65,381,,,,2021.03.02.00,90372,344,7428,81338,1606,,,,,,,,0,,
2021.03.01.00,28332,92,2864,25087,70,381,,,,2021.03.01.00,90029,355,7354,81070,1605,,,,,,,,0,,
2021.02.28.00,28240,120,2843,25017,71,380,,,,2021.02.28.00,89676,356,7376,80697,1603,,,,,,,,0,,
2021.02.27.00,28120,131,2796,24946,138,378,,,,2021.02.27.00,89321,415,7393,80333,1595,,,,,,,,0,,
2021.02.26.00,27989,132,2806,24808,156,375,,,,2021.02.26.00,88922,406,7457,79880,1585,,,,,,,,0,,
2021.02.25.00,27857,122,2832,24652,203,373,,,,2021.02.25.00,88516,396,7448,79487,1581,,,,,,,,0,,
2021.02.24.00,27735,144,2914,24449,474,372,,,,2021.02.24.00,88120,440,7494,79050,1576,,,,,,,,0,,
2021.02.23.00,27592,126,3246,23975,270,371,,,,2021.02.23.00,87681,357,7714,78394,1573,,,,,,,,0,,
2021.02.22.00,27466,106,3392,23705,152,369,,,,2021.02.22.00,87324,332,7875,77887,1562,,,,,,,,0,,
2021.02.21.00,27360,130,3442,23553,154,365,,,,2021.02.21.00,86992,416,7919,77516,1557,,,,,,,,0,,
2021.02.20.00,27230,123,3466,23399,321,365,,,,2021.02.20.00,86574,446,7938,77083,1553,,,,,,,,0,,
2021.02.19.00,27107,180,3665,23078,391,364,,,,2021.02.19.00,86128,561,8065,76513,1550,,,,,,,,0,,
2021.02.18.00,26927,185,3878,22687,257,362,,,,2021.02.18.00,85567,621,8127,75896,1544,,,,,,,,0,,
2021.02.17.00,26742,258,3952,22430,398,360,,,,2021.02.17.00,84946,621,8048,75360,1538,,,,,,,,0,,
2021.02.16.00,26484,161,4093,22032,145,359,,,,2021.02.16.00,84325,457,8240,74551,1534,,,,,,,,0,,
2021.02.15.00,26324,151,4081,21887,72,356,,,,2021.02.15.00,83869,344,8548,73794,1527,,,,,,,,0,,
2021.02.14.00,26173,152,4003,21815,89,355,,,,2021.02.14.00,83525,326,8444,73559,1522,,,,,,,,0,,
2021.02.13.00,26021,136,3943,21726,78,352,,,,2021.02.13.00,83199,362,8458,73227,1514,,,,,,,,0,,
2021.02.12.00,25885,158,3886,21648,100,351,,,,2021.02.12.00,82837,403,8394,72936,1507,,,,,,,,0,,
2021.02.11.00,25727,183,3832,21548,71,347,,,,2021.02.11.00,82434,504,8300,72638,1496,,,,,,,,0,,
2021.02.10.00,25544,175,3724,21477,159,343,,,,2021.02.10.00,81930,444,8218,72226,1486,,,,,,,,0,,
2021.02.09.00,25369,90,3710,21318,133,341,,,,2021.02.09.00,81487,303,8329,71676,1482,,,,,,,,0,,
2021.02.08.00,25279,112,3755,21185,93,339,,,,2021.02.08.00,81190,289,8498,71218,1474,,,,,,,,0,,
2021.02.07.00,25167,144,3737,21092,83,338,,,,2021.02.07.00,80896,372,8560,70865,1471,,,,,,,,0,,
2021.02.06.00,25023,143,3681,21009,98,333,,,,2021.02.06.00,80524,393,8555,70505,1464,,,,,,,,0,,
2021.02.05.00,24880,126,3637,20911,140,332,,,,2021.02.05.00,80131,370,8555,70117,1459,,,,,,,,0,,
2021.02.04.00,24755,172,3655,20771,78,329,,,,2021.02.04.00,79762,451,8610,69704,1448,,,,,,,,0,,
2021.02.03.00,24583,188,3563,20693,208,327,,,,2021.02.03.00,79311,467,8571,69299,1441,,,,,,,,0,,
2021.02.02.00,24395,128,3584,20485,155,326,,,,2021.02.02.00,78844,336,8634,68775,1435,,,,,,,,0,,
2021.02.01.00,24267,107,3612,20330,242,325,,,,2021.02.01.00,78508,305,8774,68309,1425,,,,,,,,0,,
2021.01.31.00,24162,101,3750,20088,494,324,,,,2021.01.31.00,78205,355,8907,67878,1420,,,,,,,,0,,
2021.01.30.00,24061,154,4144,19594,108,323,,,,2021.01.30.00,77850,458,9315,67121,1414,,,,,,,,0,,
2021.01.29.00,23908,112,4105,19486,157,317,,,,2021.01.29.00,77395,469,9493,66503,1399,,,,,,,,0,,
2021.01.28.00,23797,105,4157,19329,171,311,,,,2021.01.28.00,76926,497,9524,66016,1386,,,,,,,,0,,
2021.01.27.00,23692,129,4227,19158,130,307,,,,2021.01.27.00,76429,559,9573,65478,1378,,,,,,,,0,,
2021.01.26.00,23563,104,4231,19028,402,304,,,,2021.01.26.00,75875,354,9711,64793,1371,,,,,,,,0,,
2021.01.25.00,23459,102,4532,18626,172,301,,,,2021.01.25.00,75521,437,11205,62956,1360,,,,,,,,0,,
2021.01.24.00,23357,133,4606,18454,160,297,,,,2021.01.24.00,75084,392,11205,62530,1349,,,,,,,,0,,
2021.01.23.00,23224,127,4636,18294,138,294,,,,2021.01.23.00,74692,431,11311,62044,1337,,,,,,,,0,,
2021.01.22.00,23097,115,4651,18156,169,290,,,,2021.01.22.00,74262,346,11519,61415,1328,,,,,,,,0,,
2021.01.21.00,22984,125,4712,17987,225,285,,,,2021.01.21.00,73918,401,11756,60846,1316,,,,,,,,0,,
2021.01.20.00,22859,143,4818,17762,275,279,,,,2021.01.20.00,73518,404,12038,60180,1300,,,,,,,,0,,
2021.01.19.00,22717,101,4953,17487,276,277,,,,2021.01.19.00,73115,386,12364,59468,1283,,,,,,,,0,,
2021.01.18.00,22616,132,5134,17211,118,271,,,,2021.01.18.00,72729,389,12742,58723,1264,,,,,,,,0,,
2021.01.17.00,22484,145,5126,17093,208,265,,,,2021.01.17.00,72340,520,12838,58253,1249,,,,,,,,0,,
2021.01.16.00,22339,156,5192,16885,367,262,,,,2021.01.16.00,71820,580,13030,57554,1236,,,,,,,,0,,
2021.01.15.00,22183,127,5411,16518,214,254,,,,2021.01.15.00,71241,513,13488,56536,1217,,,,,,,,0,,
2021.01.14.00,22056,134,5500,16304,217,252,,,,2021.01.14.00,70728,524,13761,55772,1195,,,,,,,,0,,
2021.01.13.00,21922,152,5585,16087,149,250,,,,2021.01.13.00,70212,562,14391,54636,1185,,,,,,,,0,,
2021.01.12.00,21771,167,5585,15938,404,248,,,,2021.01.12.00,69651,537,14917,53569,1165,,,,,,,,0,,
2021.01.11.00,21604,141,5832,15534,1734,238,,,,2021.01.11.00,69114,451,15422,52552,1140,,,,,,,,0,,
2021.01.10.00,21463,187,7433,13800,541,230,,,,2021.01.10.00,68664,665,17130,50409,1125,,,,,,,,0,,
2021.01.09.00,21276,188,7794,13259,454,223,,,,2021.01.09.00,67999,641,17575,49324,1100,,,,,,,,0,,
2021.01.08.00,21088,191,8060,12805,262,223,,,,2021.01.08.00,67358,674,17908,48369,1081,,,,,,,,0,,
2021.01.07.00,20899,298,8143,12543,114,213,,,,2021.01.07.00,66686,870,17991,47649,1046,,,,,,,,0,,
2021.01.06.00,20602,264,7966,12429,334,207,,,,2021.01.06.00,65818,840,17796,46995,1027,,,,,,,,0,,
2021.01.05.00,20338,199,8039,12095,374,204,,,,2021.01.05.00,64979,715,17800,46172,1007,,,,,,,,0,,
2021.01.04.00,20138,329,8224,11721,200,193,,,,2021.01.04.00,64264,1020,18043,45240,981,,,,,,,,0,,
2021.01.03.00,19809,197,8099,11521,669,189,,,,2021.01.03.00,63244,657,17775,44507,962,,,,,,,,0,,
2021.01.02.00,19614,251,8576,10852,65,186,,,,2021.01.02.00,62593,824,18073,43578,942,,,,,,,,0,,
2021.01.01.00,19363,359,8394,10787,346,182,,,,2021.01.01.00,61769,1029,17899,42953,917,,,,,,,,0,,
